Diabetes Prevalence,Without Health Insurance (BRFSS),Annual Checkup,Poor Mental Health,Obesity Prevalence,Education < 9th,Education 9-12 No Diploma,High School Diploma,Associate Degree,Aged 65 and Over,Unemployed,In Poverty,Households with No Vehicle,Rural,Broadband Internet Subscription,Broadband Internet Structural Availability
9.1,8.9,61.1,16.3,29.4,3.2,4.8,30.5,9.1,23.2,2.5,10.8,4.9,0,83.2,100.0
13.0,17.1,59.5,17.4,36.6,13.0,11.1,27.6,7.9,10.9,5.1,19.4,6.5,0,85.8,100.0
12.8,16.9,60.8,16.9,35.1,13.8,12.5,26.1,9.0,10.3,4.6,16.4,5.3,0,85.2,100.0
10.5,11.0,60.3,18.4,33.7,5.1,8.3,29.9,12.0,22.7,5.2,16.8,4.7,0,82.9,100.0
10.5,12.2,59.9,17.1,32.1,5.4,14.5,32.4,8.8,14.7,2.3,13.9,4.2,0,83.9,100.0
11.7,12.9,63.2,15.0,28.5,11.7,8.2,20.4,7.0,13.7,4.5,13.9,8.6,0,88.9,100.0
12.5,18.1,58.9,17.7,35.9,16.5,11.7,23.3,7.5,13.9,5.8,19.6,3.9,0,87.2,100.0
7.1,5.8,58.4,13.3,22.9,4.1,2.5,10.2,6.6,22.4,3.3,6.9,4.4,0,93.7,100.0
9.1,8.0,61.3,16.9,30.0,3.4,5.7,22.4,10.4,28.2,5.2,13.2,5.2,1,80.9,100.0
10.0,10.8,60.3,17.4,31.5,6.4,6.9,26.3,8.5,22.4,4.9,15.8,7.6,0,83.6,100.0
13.2,18.3,60.9,17.0,33.0,17.5,12.2,26.5,7.9,11.1,6.5,19.4,7.1,0,88.6,100.0
10.2,10.3,60.0,18.4,33.1,7.1,7.5,32.5,8.7,28.1,4.5,19.6,6.9,0,76.4,100.0
8.7,9.1,60.0,15.8,29.6,6.2,6.5,22.4,10.3,15.0,1.6,10.0,2.7,0,90.7,100.0
11.3,15.8,58.4,15.7,27.5,18.2,8.8,20.3,8.1,13.7,3.3,12.2,4.5,0,90.5,100.0
