state,county,name,ed_lt9,ed_9_12,ed_hs,ed_sc,ed_asc,ed_b,ed_gr,age_gte65,race_white,race_black,race_aian,race_asian,race_nhopi,race_other,eth_hisp,sex_male,sex_female,occ_n_lab,occ_mgt,occ_svc,occ_sales,occ_nat_res,occ_prod,hlth_unins,ses_pov,tp_veh_0,tp_veh_1,tp_veh_2,tp_veh_3,dg_bb_int
48,303,"Lubbock County, Texas",5.1,7.0,25.9,22.7,7.1,20.0,12.2,12.4,74.1,7.3,0.7,2.3,0.1,6.0,36.4,49.4,50.6,34.6,38.8,18.6,22.6,8.7,11.4,13.4,17.7,5.8,34.6,40.0,19.7,84.4
48,305,"Lynn County, Texas",7.4,13.6,28.5,20.9,6.5,16.6,6.5,15.9,76.3,1.0,0.2,0.4,0.2,4.4,46.4,51.9,48.1,36.1,38.2,16.1,18.9,17.1,9.7,14.6,15.9,4.8,26.2,40.9,28.1,83.5
48,307,"McCulloch County, Texas",8.9,10.6,33.0,26.2,7.2,8.5,5.5,22.0,79.2,1.0,0.3,0.9,0.0,4.4,32.9,52.0,48.0,40.5,28.6,22.7,14.8,18.4,15.5,19.7,15.9,6.2,36.3,38.5,19.1,87.7
48,309,"McLennan County, Texas",5.5,8.1,26.9,22.5,10.7,16.6,9.7,14.4,71.9,14.3,0.4,1.7,0.1,3.1,27.0,49.0,51.0,38.3,34.1,17.4,22.2,10.3,16.0,14.0,17.8,5.6,33.5,38.3,22.6,84.4
48,311,"McMullen County, Texas",4.8,5.4,46.6,22.2,5.6,8.9,6.4,13.0,83.3,0.0,0.7,0.0,0.0,3.6,64.3,48.4,51.6,43.6,40.9,21.7,9.1,17.1,11.2,24.1,12.2,4.8,28.0,28.5,38.7,72.6
48,313,"Madison County, Texas",5.5,16.2,39.3,21.1,6.1,8.1,3.7,15.1,71.3,16.1,0.3,1.3,0.0,3.6,24.1,56.7,43.3,55.3,24.3,16.9,21.5,20.1,17.1,15.5,12.6,6.6,29.8,31.6,31.9,76.6
48,315,"Marion County, Texas",3.0,10.0,39.8,22.8,9.1,12.3,3.1,26.3,72.2,22.5,0.2,0.2,0.5,1.5,4.5,49.1,50.9,52.3,28.2,16.2,25.8,11.3,18.4,12.2,18.3,6.3,39.7,32.8,21.2,73.6
48,317,"Martin County, Texas",11.6,7.7,33.4,23.1,3.2,11.7,9.3,11.6,83.5,0.5,0.0,0.2,0.2,11.7,46.3,51.1,48.9,35.3,33.4,8.2,23.8,16.0,18.6,10.5,13.3,0.0,29.2,37.3,33.5,73.6
48,319,"Mason County, Texas",8.4,9.2,20.4,20.7,6.3,26.2,8.7,29.5,85.9,0.0,1.9,0.8,0.0,8.5,19.8,49.4,50.6,44.9,40.0,10.6,28.2,17.8,3.6,12.6,4.9,3.6,26.2,38.9,31.3,81.1
48,321,"Matagorda County, Texas",11.1,7.5,29.6,24.9,7.1,12.6,7.2,16.8,62.5,10.1,0.3,1.9,0.3,18.3,43.8,50.5,49.5,43.4,27.2,17.9,17.0,20.3,17.5,18.4,20.0,6.4,35.0,39.0,19.6,70.2
48,323,"Maverick County, Texas",20.5,15.9,26.3,15.3,6.0,12.4,3.6,11.6,67.3,0.4,2.2,0.1,0.0,7.2,95.1,49.9,50.1,42.9,22.4,29.1,18.6,13.2,16.8,28.7,25.0,6.6,30.3,37.4,25.8,68.4
48,325,"Medina County, Texas",6.2,8.0,32.1,22.7,8.5,13.4,9.2,16.8,78.5,2.5,0.7,0.9,0.0,4.8,52.8,51.7,48.3,43.4,35.2,15.7,22.0,13.0,14.1,13.9,11.9,4.4,23.8,37.0,34.9,83.6
48,327,"Menard County, Texas",7.8,10.1,25.4,21.5,7.9,15.3,11.9,34.2,78.7,0.1,1.7,0.0,0.0,7.4,35.5,49.8,50.2,42.9,30.6,14.5,21.4,16.8,16.7,26.7,18.9,2.7,38.1,37.7,21.6,68.4
48,329,"Midland County, Texas",7.0,8.5,24.2,23.1,8.4,20.3,8.5,10.1,73.3,6.4,0.7,2.0,0.0,8.1,46.3,50.8,49.2,28.7,37.5,13.5,22.5,14.3,12.2,16.2,11.1,4.0,31.1,38.5,26.4,87.9
48,331,"Milam County, Texas",6.4,7.6,41.0,20.4,8.5,11.2,5.0,20.7,80.7,9.8,0.2,0.7,0.2,3.6,27.1,49.8,50.2,42.7,32.1,14.7,21.8,19.0,12.3,15.0,16.2,4.9,26.2,41.2,27.6,75.6
48,333,"Mills County, Texas",7.3,7.4,30.9,22.4,7.3,16.7,8.1,27.3,84.6,0.5,0.1,0.2,0.0,3.6,23.9,49.9,50.1,46.4,36.9,19.9,14.9,17.1,11.2,16.4,8.5,1.0,27.3,39.2,32.5,80.4
48,335,"Mitchell County, Texas",7.5,10.2,43.3,22.2,6.8,8.3,1.6,15.9,78.2,6.6,0.7,0.0,0.0,4.5,40.7,60.6,39.4,52.8,20.3,29.0,26.7,16.6,7.3,17.4,9.9,2.8,40.5,33.7,23.0,74.5
48,337,"Montague County, Texas",5.0,8.6,36.7,24.2,8.1,12.4,5.1,21.3,92.4,0.7,0.4,0.0,0.0,2.5,11.4,48.6,51.4,44.8,25.3,17.0,24.1,19.7,13.9,15.3,12.4,3.9,24.4,44.5,27.3,76.5
48,339,"Montgomery County, Texas",4.4,6.0,23.1,22.5,7.6,24.4,12.0,13.1,78.9,5.4,0.4,3.2,0.0,3.4,25.2,49.7,50.3,34.9,41.9,14.5,21.6,10.0,12.0,14.7,8.8,3.3,25.8,45.9,25.0,92.5
48,341,"Moore County, Texas",23.0,9.9,31.2,16.5,6.5,9.2,3.7,11.2,69.8,3.9,0.7,4.5,0.0,10.7,57.7,52.4,47.6,33.9,22.8,14.4,14.5,16.0,32.2,19.9,11.7,7.8,31.6,30.0,30.5,83.8
